Nº Repetição,Nós Usados,Tempo (s),CO2e (kg)
1,"[2534, 4673, 4801, 6828, 8310]",0.6264541625976563,5.875069326770641e-06
2,"[2081, 3784, 4933, 6459, 8944]",0.6263041019439697,5.8751513315961696e-06
3,"[2551, 7627, 8362, 8724, 8921]",0.6286724090576172,5.896833951879245e-06
4,"[93, 397, 4043, 7172, 9202]",0.6335715293884278,5.942039090287166e-06
5,"[5220, 5449, 5551, 8558, 8634]",0.6015755653381347,5.642935706152116e-06
6,"[4290, 4423, 4557, 7410, 9441]",0.6578479290008545,6.169874054031499e-06
7,"[812, 5393, 5454, 6484, 8658]",0.6831321239471435,6.406291355936063e-06
8,"[404, 1854, 2798, 7739, 8289]",0.672432279586792,6.30637668522562e-06
9,"[4406, 7120, 7791, 8151, 9881]",0.6570990562438965,6.164339399411066e-06
10,"[3643, 4239, 5473, 5879, 9777]",0.6465107440948487,6.06463685530274e-06
11,"[738, 2714, 2844, 5099, 5214]",0.6148076534271241,5.768316876836895e-06
12,"[1149, 3184, 5625, 7086, 9753]",0.6241047382354736,5.854356608234582e-06
13,"[1853, 6073, 6703, 7817, 9501]",0.6467206001281738,6.066339875665391e-06
14,"[3765, 3875, 4515, 4590, 7095]",0.6266263484954834,5.878273424643027e-06
15,"[85, 158, 1233, 7857, 9334]",0.6363377571105957,5.969486996207302e-06
