Nº Repetição,Nós Usados,Tempo (s),CO2e (kg)
1,"[1792, 1950, 2918, 4216, 4894]",0.16790690422058105,1.5800258586133549e-06
2,"[17, 943, 3522, 4555, 4567]",0.16350812911987306,1.5390603907497685e-06
3,"[1338, 1343, 1971, 2995, 3573]",0.15517449378967285,1.4614419637946136e-06
4,"[1626, 2705, 2824, 4225, 4710]",0.18100075721740722,1.3878242165512235e-06
5,"[771, 3043, 3069, 3204, 4091]",0.19116582870483398,1.349144518906859e-06
6,"[14, 99, 2367, 3146, 3541]",0.16106133460998534,1.5166198313287225e-06
7,"[2511, 2591, 3059, 4479, 4897]",0.17854666709899902,1.6796706966417556e-06
8,"[1080, 1294, 1867, 2971, 3502]",0.16461639404296874,1.5497888726778341e-06
9,"[429, 989, 1835, 3969, 4794]",0.1580899715423584,1.4887315621787724e-06
10,"[727, 1060, 1858, 4317, 4484]",0.16251444816589355,1.5300717277998134e-06
11,"[338, 1323, 3968, 4625, 4682]",0.1578047275543213,1.485767879623531e-06
12,"[259, 408, 607, 1407, 4322]",0.16150946617126466,1.520660644823607e-06
13,"[6, 704, 1198, 1687, 1998]",0.17900643348693848,1.6839648259369123e-06
14,"[257, 1282, 1619, 4219, 4786]",0.15265650749206544,1.437212767884565e-06
15,"[132, 2369, 2374, 2434, 3185]",0.1778721809387207,1.6751521078262197e-06
