Nº Repetição,Nós Usados,Tempo (s),CO2e (kg)
1,"[1, 65, 114, 372, 427]",0.004283237457275391,4.705750789689084e-08
2,"[11, 152, 237, 344, 387]",0.005604743957519531,5.909678944855711e-08
3,"[194, 217, 272, 278, 368]",0.004948234558105469,5.315027712326996e-08
4,"[117, 126, 177, 235, 421]",0.005014944076538086,5.392684440823575e-08
5,"[79, 96, 141, 448, 479]",0.00566554069519043,6.034116057342024e-08
6,"[16, 57, 371, 391, 414]",0.004232597351074219,4.680232983681624e-08
7,"[214, 314, 338, 392, 479]",0.00520167350769043,5.480306378297086e-08
8,"[8, 105, 123, 452, 455]",0.004821014404296875,4.147768467687452e-08
9,"[17, 34, 51, 228, 304]",0.004827356338500977,5.169386620452279e-08
10,"[24, 306, 344, 360, 446]",0.00550389289855957,5.829684825303364e-08
11,"[22, 125, 205, 224, 379]",0.004239177703857422,4.720899374926483e-08
12,"[111, 119, 276, 386, 442]",0.006186866760253906,6.445499201386537e-08
13,"[28, 71, 148, 257, 397]",0.004750633239746093,5.155922181784811e-08
14,"[119, 294, 374, 417, 469]",0.005666160583496093,5.980826715501542e-08
15,"[163, 295, 306, 344, 395]",0.004750251770019531,5.15628045892919e-08
