Nº Repetição,Nós Usados,Tempo (s),CO2e (kg)
1,"[45, 52, 54, 59, 93]",0.0009741306304931641,1.595059191211955e-08
2,"[6, 12, 82, 83, 86]",0.0008145332336425781,1.3949301797633165e-08
3,"[7, 13, 43, 51, 93]",0.0009407997131347656,1.5077377609838345e-08
4,"[17, 24, 31, 57, 68]",0.000809478759765625,1.4159965912405613e-08
5,"[23, 31, 35, 54, 59]",0.0008278369903564453,1.0903360542060873e-08
6,"[6, 9, 12, 56, 70]",0.0009512424468994141,1.509454773924282e-08
7,"[1, 11, 69, 83, 96]",0.0007920742034912109,1.3752668549761294e-08
8,"[21, 30, 52, 61, 62]",0.0010257720947265624,1.5603533635778012e-08
9,"[7, 21, 27, 48, 51]",0.0008018970489501953,1.3683641286878328e-08
10,"[0, 33, 36, 49, 58]",0.0009441852569580078,1.481774233927649e-08
11,"[54, 71, 84, 89, 93]",0.00092620849609375,1.5084843110640223e-08
12,"[19, 24, 37, 62, 91]",0.0008448123931884766,1.4181894039020143e-08
13,"[7, 27, 69, 74, 94]",0.0009813308715820312,1.569290448106976e-08
14,"[6, 7, 40, 74, 95]",0.0008564472198486328,1.4498258590098095e-08
15,"[7, 20, 61, 64, 67]",0.000928497314453125,1.5048093011066687e-08
