Nº Repetição,Nós Usados,Tempo (s),CO2e (kg)
1,"[2534, 4673, 4801, 6828, 8310]",1.2703069210052491,1.1907122888475091e-05
2,"[2081, 3784, 4933, 6459, 8944]",1.276313018798828,1.1963628310241255e-05
3,"[2551, 7627, 8362, 8724, 8921]",1.384060764312744,1.2973004800906652e-05
4,"[93, 397, 4043, 7172, 9202]",1.2062366008758545,1.1307073745915594e-05
5,"[5220, 5449, 5551, 8558, 8634]",1.1993357181549071,1.124242438859245e-05
6,"[4290, 4423, 4557, 7410, 9441]",1.2256207466125488,1.1489750633653897e-05
7,"[812, 5393, 5454, 6484, 8658]",1.2164646625518798,1.1403055388610887e-05
8,"[404, 1854, 2798, 7739, 8289]",1.201751708984375,1.126545590928324e-05
9,"[4406, 7120, 7791, 8151, 9881]",1.3116777896881104,1.2295369800073723e-05
10,"[3643, 4239, 5473, 5879, 9777]",1.1950060367584228,1.1202060014900485e-05
11,"[738, 2714, 2844, 5099, 5214]",1.1809559345245362,1.1070350643896294e-05
12,"[1149, 3184, 5625, 7086, 9753]",1.1834128856658936,1.109308063884983e-05
13,"[1853, 6073, 6703, 7817, 9501]",1.2203850269317627,1.1439244414000258e-05
14,"[3765, 3875, 4515, 4590, 7095]",1.254101848602295,1.1755348641407306e-05
15,"[85, 158, 1233, 7857, 9334]",1.3187748908996582,1.236112977709465e-05
