Nº Repetição,Nós Usados,Tempo (s),CO2e (kg)
1,"[1792, 1950, 2918, 4216, 4894]",0.288262939453125,2.707242155793707e-06
2,"[17, 943, 3522, 4555, 4567]",0.28985047340393066,2.7229694488878347e-06
3,"[1338, 1343, 1971, 2995, 3573]",0.28669300079345705,2.6929965090509226e-06
4,"[1626, 2705, 2824, 4225, 4710]",0.28904047012329104,2.716334927868485e-06
5,"[771, 3043, 3069, 3204, 4091]",0.28470330238342284,2.6739406526113875e-06
6,"[14, 99, 2367, 3146, 3541]",0.2899467468261719,2.7236833349848454e-06
7,"[2511, 2591, 3059, 4479, 4897]",0.2870077133178711,2.6974931144544063e-06
8,"[1080, 1294, 1867, 2971, 3502]",0.3063997745513916,2.8772733918586285e-06
9,"[429, 989, 1835, 3969, 4794]",0.5724648475646973,5.370976819867624e-06
10,"[727, 1060, 1858, 4317, 4484]",0.2574429512023926,2.418968183846211e-06
11,"[338, 1323, 3968, 4625, 4682]",0.2854901313781738,2.6814609593743102e-06
12,"[259, 408, 607, 1407, 4322]",0.31664047241210935,2.973453401671904e-06
13,"[6, 704, 1198, 1687, 1998]",0.2580451011657715,2.4251172932628197e-06
14,"[257, 1282, 1619, 4219, 4786]",0.29378814697265626,2.7598468408545706e-06
15,"[132, 2369, 2374, 2434, 3185]",0.31644439697265625,2.9715800734323164e-06
