Nº Repetição,Nós Usados,Tempo (s),CO2e (kg)
1,"[45, 52, 54, 59, 93]",0.0015225887298583984,2.868734045327316e-08
2,"[6, 12, 82, 83, 86]",0.0006159305572509766,1.2716185407425391e-08
3,"[7, 13, 43, 51, 93]",0.0005967617034912109,1.2703502810532383e-08
4,"[17, 24, 31, 57, 68]",0.0005741119384765625,1.2627915793007743e-08
5,"[23, 31, 35, 54, 59]",0.0007437229156494141,1.3130332843811816e-08
6,"[6, 9, 12, 56, 70]",0.0005552768707275391,1.2158996982873368e-08
7,"[1, 11, 69, 83, 96]",0.0006455421447753906,1.2873309992368332e-08
8,"[21, 30, 52, 61, 62]",0.0006110668182373047,1.2760565700989225e-08
9,"[7, 21, 27, 48, 51]",0.0006177425384521484,1.2649894847931972e-08
10,"[0, 33, 36, 49, 58]",0.0006392955780029297,1.3089498378287825e-08
11,"[54, 71, 84, 89, 93]",0.0005646228790283203,1.2762685721366604e-08
12,"[19, 24, 37, 62, 91]",0.0011096477508544921,1.9109486613618674e-08
13,"[7, 27, 69, 74, 94]",0.0006161689758300781,1.2490414514352718e-08
14,"[6, 7, 40, 74, 95]",0.0006231784820556641,1.2417335897803605e-08
15,"[7, 20, 61, 64, 67]",0.0006596088409423828,1.3021321379271628e-08
