V,Média Tempo (s),DP Tempo (s),Média CO2e (kg),DP CO2e (kg)
100.0,0.000713,0.000260846,0.0000000142,0.000000004336
500.0,0.004655,0.001033062,0.0000000508,0.000000013866
1000.0,0.015254,0.003402703,0.0000001472,0.000000037340
5000.0,0.308148,0.074972267,0.0000028942,0.000000702488
10000.0,1.242960,0.058867838,0.0000116512,0.000000551464
