Nº Repetição,Nós Usados,Tempo (s),CO2e (kg)
1,"[1, 65, 114, 372, 427]",0.003964138031005859,4.4949215987592996e-08
2,"[11, 152, 237, 344, 387]",0.004754257202148437,5.2210264432667533e-08
3,"[194, 217, 272, 278, 368]",0.0038866519927978514,4.3592832000114645e-08
4,"[117, 126, 177, 235, 421]",0.00802316665649414,9.53683596856595e-08
5,"[79, 96, 141, 448, 479]",0.004254007339477539,4.700717632637988e-08
6,"[16, 57, 371, 391, 414]",0.005277252197265625,6.098247409542416e-08
7,"[214, 314, 338, 392, 479]",0.004975557327270508,5.397009982448543e-08
8,"[8, 105, 123, 452, 455]",0.0038634777069091798,4.329838072899237e-08
9,"[17, 34, 51, 228, 304]",0.004815006256103515,5.154376584826725e-08
10,"[24, 306, 344, 360, 446]",0.004359149932861328,3.915903010568167e-08
11,"[22, 125, 205, 224, 379]",0.004160594940185547,3.6036274816540556e-08
12,"[111, 119, 276, 386, 442]",0.004717969894409179,5.070659119082741e-08
13,"[28, 71, 148, 257, 397]",0.003914594650268555,4.4071021738317315e-08
14,"[119, 294, 374, 417, 469]",0.00477147102355957,5.3242545177279284e-08
15,"[163, 295, 306, 344, 395]",0.004090690612792968,4.5565743540477026e-08
