Repeticao,Nos Usados,Tempo (s),CO2e (kg)
1,"[1, 65, 114, 372, 427]",0.02191648483276367,2.1252883826763597e-07
2,"[11, 152, 237, 344, 387]",0.025432586669921875,2.4481506551626164e-07
3,"[194, 217, 272, 278, 368]",0.022132730484008788,2.143874982486213e-07
4,"[117, 126, 177, 235, 421]",0.025063371658325194,2.419886629874077e-07
5,"[79, 96, 141, 448, 479]",0.02411484718322754,2.3336906653833036e-07
6,"[16, 57, 371, 391, 414]",0.02445974349975586,2.3594199116985592e-07
7,"[214, 314, 338, 392, 479]",0.026540040969848633,2.5568014619581895e-07
8,"[8, 105, 123, 452, 455]",0.019026708602905274,1.851004235329195e-07
9,"[17, 34, 51, 228, 304]",0.02467770576477051,2.3817921637180325e-07
10,"[24, 306, 344, 360, 446]",0.01892061233520508,1.8415745018747406e-07
11,"[22, 125, 205, 224, 379]",0.02477998733520508,2.3883671577767364e-07
12,"[111, 119, 276, 386, 442]",0.021884059906005858,2.1165563752863446e-07
13,"[28, 71, 148, 257, 397]",0.021341514587402344,2.0687621976470527e-07
14,"[119, 294, 374, 417, 469]",0.021534061431884764,1.7174080192959888e-07
15,"[163, 295, 306, 344, 395]",0.01894693374633789,1.8461521293481866e-07
