Repeticao,Nos Usados,Tempo (s),CO2e (kg)
1,"[165, 592, 678, 861, 974]",0.09775319099426269,7.639139934731321e-07
2,"[12, 94, 119, 659, 789]",0.11084985733032227,1.045152044891867e-06
3,"[393, 407, 723, 728, 938]",0.08088088035583496,7.651370964703344e-07
4,"[82, 530, 600, 922, 997]",0.10724430084228516,1.0116770496076907e-06
5,"[169, 193, 433, 897, 931]",0.08622474670410156,8.153174497110658e-07
6,"[258, 309, 437, 708, 849]",0.11157708168029785,1.0522955174570721e-06
7,"[512, 545, 674, 907, 990]",0.09350438117980957,8.831245651690637e-07
8,"[315, 391, 421, 600, 751]",0.09680285453796386,9.140021784414845e-07
9,"[745, 770, 890, 897, 946]",0.11349964141845703,1.0729028099167805e-06
10,"[91, 111, 586, 651, 795]",0.08079242706298828,7.637817632907877e-07
11,"[146, 275, 352, 816, 833]",0.10784425735473632,1.0172520541274479e-06
12,"[214, 407, 715, 766, 952]",0.09504504203796386,8.973734834863972e-07
13,"[6, 172, 315, 503, 835]",0.09900975227355957,9.34572632215835e-07
14,"[1, 71, 99, 713, 792]",0.10880899429321289,1.0302720051797274e-06
15,"[295, 426, 427, 537, 670]",0.08737750053405761,8.255654191670111e-07
