V,Média Tempo (s),DP Tempo (s),Média CO2e (kg),DP CO2e (kg)
100.0,0.001119,0.000093871,0.0000000167,0.000000001518
500.0,0.022718,0.002504259,0.0000002173,0.000000026452
1000.0,0.098481,0.011204401,0.0000009195,0.000000113801
5000.0,2.457672,0.135949318,0.0000230332,0.000001274571
10000.0,9.925304,0.184680982,0.0000929880,0.000001730052
