Repeticao,Nos Usados,Tempo (s),CO2e (kg)
1,"[1792, 1950, 2918, 4216, 4894]",2.3663394451141357,2.2175683224942913e-05
2,"[17, 943, 3522, 4555, 4567]",2.4405086517333983,2.287013901354114e-05
3,"[1338, 1343, 1971, 2995, 3573]",2.3971441268920897,2.2464542384339915e-05
4,"[1626, 2705, 2824, 4225, 4710]",2.7485861778259277,2.5756820931776224e-05
5,"[771, 3043, 3069, 3204, 4091]",2.287396955490112,2.1437040248316813e-05
6,"[14, 99, 2367, 3146, 3541]",2.5580148220062258,2.397136249624628e-05
7,"[2511, 2591, 3059, 4479, 4897]",2.5507275104522704,2.392705824784168e-05
8,"[1080, 1294, 1867, 2971, 3502]",2.54601788520813,2.385859837605825e-05
9,"[429, 989, 1835, 3969, 4794]",2.4407590866088866,2.2872918900495558e-05
10,"[727, 1060, 1858, 4317, 4484]",2.3205918788909914,2.1749319103759934e-05
11,"[338, 1323, 3968, 4625, 4682]",2.616225814819336,2.451742834783696e-05
12,"[259, 408, 607, 1407, 4322]",2.243064451217651,2.1021400596618737e-05
13,"[6, 704, 1198, 1687, 1998]",2.5512596130371095,2.390819318641284e-05
14,"[257, 1282, 1619, 4219, 4786]",2.384578514099121,2.2346343926498784e-05
15,"[132, 2369, 2374, 2434, 3185]",2.4138596057891846,2.2620670468473913e-05
